,x
1338_s_at,0.060438801
1339_s_at,-0.009995563
134_at,-0.011353506
1340_s_at,-0.028149852
1341_at,0.026081613
1342_g_at,-0.099165764
1343_s_at,-0.035700489
1344_at,0.016441771
1345_s_at,0.012042983
1346_at,0.011261726
1347_at,-0.072671858
1348_s_at,-0.12101383
1349_at,-0.012453487
135_g_at,-0.076721815
1350_at,-0.005065008
1351_at,0.042249635
1352_at,0.013836127
1353_g_at,0.019975225
1354_at,0.059687571
1355_g_at,-0.019606579
1356_at,0.113925874
1357_at,-0.005144072
1358_s_at,-0.071115887
1359_at,0.04445337
136_at,0.002932123
1360_at,0.066312287
1361_at,-0.069622248
1362_s_at,-0.018697332
1363_at,-0.053290925
1364_at,-0.434043301
1365_at,0.005974514
1366_i_at,-0.020576097
1367_f_at,-0.029949827
1368_at,-0.232897437
1369_s_at,-0.203836199
137_at,0.374724178
1370_at,-0.05832184
1371_s_at,0.025522629
1372_at,-0.039225707
1373_at,0.074923078
1374_g_at,0.016887944
1375_s_at,-0.204127662
1376_at,0.039405502
1377_at,-0.014936172
1378_g_at,-0.007459685
1379_at,-0.063078426
138_at,-0.018490722
1380_at,-0.001922806
1381_at,0.043765955
1382_at,-0.028969817
1383_at,0.01846411
1384_at,0.016138426
1385_at,-0.725232727
1386_at,0.002278697
1387_at,0.013048275
1388_g_at,-0.058515679
1389_at,0
139_at,0.023448186
1390_s_at,0.02144129
1391_s_at,0.006007854
1392_at,0.024058996
1393_at,0.002961681
1394_at,-0.021526316
1395_at,0.029907108
1396_at,-0.445113362
1397_at,-0.009678233
1398_g_at,-0.025529324
1399_at,0.056101947
140_s_at,0.045879823
1400_at,0.026049009
1401_g_at,0.003229133
1402_at,0.189764748
1403_s_at,-0.010439979
1404_r_at,0.00418181
1405_i_at,0.026208254
1406_at,0.014633353
1407_g_at,0.020816513
1408_at,-0.089380006
1409_at,0.019662663
141_s_at,0.016335426
1410_at,0.002047004
1411_at,0.015243748
1412_g_at,0.019180212
1413_at,0.08814744
1414_at,0.044270745
1415_at,0.005985468
1416_g_at,0.041807101
1417_at,0.041262741
1418_at,0.023731585
1419_g_at,-0.003149108
142_at,-0.027707831
1420_s_at,-0.028134117
1421_at,-0.118192223
1422_g_at,0.023315873
1423_at,-0.018074499
1424_s_at,0.052021666
1425_at,0.07216503
1426_at,-0.031213745
1427_g_at,-0.033835133
1428_at,0.023773211
143_s_at,0.02645732
1430_at,0.009725964
1431_at,0.004970324
1432_s_at,0.01240223
1433_g_at,-0.010690046
1434_at,-0.015758255
1435_f_at,0.015929911
1436_at,0.045314148
1437_at,-0.022721316
1438_at,0.008788418
1439_s_at,-0.020694846
144_at,-0.004089287
1440_s_at,-0.05074474
1441_s_at,-0.114313639
1442_at,0.010872023
1443_at,-0.095915566
1444_at,0.091959245
1445_at,-0.001046491
1446_at,0.037533051
1447_at,0.111388302
1448_at,0.053425223
1449_at,0.086883124
145_s_at,0.006227453
1450_g_at,0.089684854
1451_s_at,-0.400763516
1452_at,0.019227311
1453_at,-0.091485174
1454_at,-0.033128767
1455_f_at,-0.00477157
1456_s_at,-0.662709983
1457_at,-0.100588771
1458_at,-0.040023501
1459_at,0.037126366
146_at,0.017513365
1460_g_at,0.083246615
1461_at,-0.125349044
1462_s_at,0.069468638
1463_at,-0.029541337
1464_at,0.015084651
1465_s_at,-0.214873336
1466_s_at,0.074297347
1467_at,-0.476136593
1468_at,0.104883084
1469_at,-0.014483305
147_at,0.015944273
1470_at,0.025738245
1471_at,0.011128686
1472_g_at,0.018375625
1473_s_at,0.110310481
1474_s_at,0.086295993
1475_s_at,0.025130573
1476_s_at,0.025921979
1477_s_at,0.022904539
1478_at,-0.389491139
1479_g_at,-0.161248683
148_at,-0.084888831
1480_at,0.077390952
1481_at,0.033556244
1482_g_at,0.03268999
1483_at,-0.012206459
1484_at,0.02635466
